&a / °	I1 / %
-1.668	3.2
-1.673	3.3
-1.679	3.3
-1.684	3.3
-1.689	3.4
-1.695	3.6
-1.700	3.7
-1.705	4.0
-1.711	4.3
-1.716	4.8
-1.721	5.3
-1.727	6.1
-1.732	7.2
-1.737	8.8
-1.743	10.4
-1.748	12.4
-1.753	14.9
-1.759	17.8
-1.764	20.6
-1.769	23.5
-1.775	26.0
-1.780	27.7
-1.786	27.6
-1.791	25.3
-1.796	21.6
-1.802	17.6
-1.807	14.0
-1.812	11.2
-1.818	8.9
-1.823	7.2
-1.828	6.0
-1.834	5.2
-1.839	4.6
-1.844	4.2
-1.850	3.8
-1.855	3.6
-1.860	3.4
-1.866	3.2
-1.871	3.2
-1.876	3.2
-1.882	3.2
-1.887	3.2
-1.892	3.2
-1.898	3.2
-1.903	3.2
-1.908	3.5
-1.914	3.6
-1.919	4.0
-1.924	4.3
-1.930	4.8
-1.935	5.6
-1.940	6.5
-1.946	7.8
-1.951	9.4
-1.956	11.5
-1.962	14.0
-1.967	16.8
-1.972	20.0
-1.978	22.7
-1.983	24.7
-1.989	25.3
-1.994	24.1
-1.999	21.0
-2.005	17.0
-2.010	13.2
-2.015	10.2
-2.021	7.9
-2.026	6.1
-2.031	4.9
-2.037	4.2
-2.042	3.6
-2.047	3.2
-2.053	3.0
-2.058	2.9
-2.063	2.8
-2.069	2.8
-2.074	2.8
-2.079	2.8
-2.085	2.8
-2.090	2.8
-2.095	2.8
-2.101	3.1
-2.106	3.3
-2.111	3.6
-2.117	4.0
-2.122	4.6
-2.127	5.3
-2.133	6.4
-2.138	7.7
-2.143	9.6
-2.149	11.9
-2.154	14.6
-2.159	17.4
-2.165	20.0
-2.170	21.6
-2.175	22.0
-2.181	20.6
-2.186	17.6
-2.191	14.0
-2.197	10.8
-2.202	8.4
-2.207	6.4
-2.213	5.2
-2.218	4.4
-2.223	3.8
-2.229	3.4
-2.234	3.0
-2.240	2.8
-2.245	2.8
-2.250	2.8
-2.256	2.8
-2.261	2.8
-2.266	2.8
-2.272	2.8
-2.277	2.8
-2.282	2.8
-2.288	3.2
-2.293	3.6
-2.298	4.0
-2.304	4.8
-2.309	5.8
-2.314	7.2
-2.320	8.9
-2.325	11.3
-2.330	14.0
-2.336	16.4
-2.341	18.2
-2.346	18.8
-2.352	17.6
-2.357	14.9
-2.362	11.8
-2.368	9.1
-2.373	6.8
-2.378	5.2
-2.384	4.4
-2.389	3.6
-2.394	3.2
-2.400	2.8
-2.405	2.4
-2.410	2.4
-2.416	2.1
